SCHID,LEAID,SCH_NAME,LEA_STATE_NAME_x,LEA_ZIP,white_student_suspension_total,black_student_suspension_total,black_student_pop,white_student_pop,susp_black_white_ratio,gini_inequality,med_hh_inc,white_prop,bach_plus_prop,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_SSCLASSES_IND,SCH_GT_IND,SCH_IBENR_IND,SCH_APSEL,teacher_prop,security_pop_bool,security_pop,law_prop,counc_prop,cert_teacher_prop,total_susp_per_pop,school_pop,reduced_free_lunch_prop,male_prop,black_white_pop_ratio
1989,3620580,IS 181 PABLO CASALS,NEW YORK,NA,0,3,424,27,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.0066518847006651885,741,NA,0.5020242914979757,0.9401330376940134
1995,3620580,JHS 226 VIRGIL I GRISSON,NEW YORK,NA,0,8,253,14,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.0299625468164794,869,NA,0.5650172612197929,0.947565543071161
1996,3620580,IS 237,NEW YORK,NA,0,1,48,16,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.015625,1197,NA,0.518796992481203,0.75
1997,3620580,IS 238 SUSAN B ANTHONY ACADEMY,NEW YORK,NA,1,11,240,19,0.8708333333333333,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.04633204633204633,1018,NA,0.5088408644400786,0.9266409266409267
2000,3620580,JHS 383 PHILIPPA SCHUYLER,NEW YORK,NA,0,8,246,18,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.030303030303030304,874,NA,0.47368421052631576,0.9318181818181818
2003,3620580,JHS 14 SHELL BANK,NEW YORK,NA,1,11,174,122,7.71264367816092,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.04054054054054054,469,NA,0.55863539445629,0.5878378378378378
2006,3620580,IS 364 GATEWAY,NEW YORK,NA,0,2,126,5,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.015267175572519083,182,NA,0.5,0.9618320610687023
2007,3620580,JHS 78 ROY H MANN,NEW YORK,NA,0,10,284,81,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.0273972602739726,499,NA,0.48897795591182364,0.7780821917808219
2009,3620580,JAMES MADISON HIGH SCHOOL,NEW YORK,NA,0,0,412,1677,NA,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0,3501,NA,0.5575549842902028,0.19722355193872668
2012,3620580,JHS 278 MARINE PARK,NEW YORK,NA,4,14,416,350,2.9447115384615383,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.02349869451697128,1184,NA,0.4907094594594595,0.5430809399477807
2013,3620580,JOHN ADAMS HIGH SCHOOL,NEW YORK,NA,1,11,587,80,1.4991482112436116,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.017991004497751123,2313,NA,0.5175097276264592,0.8800599700149925
2014,3620580,JOHN BOWNE HIGH SCHOOL,NEW YORK,NA,1,4,531,155,1.167608286252354,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.007288629737609329,3021,NA,0.5097649784839458,0.7740524781341108
2020,3620580,Ps 368,NEW YORK,NA,0,1,115,21,Inf,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0.007352941176470588,216,NA,0.7083333333333334,0.8455882352941176
2022,3620580,LONG ISLAND CITY HIGH SCHOOL,NEW YORK,NA,3,14,194,123,2.958762886597938,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.05362776025236593,1986,NA,0.5015105740181269,0.61198738170347
2026,3620580,Ps 721 Manhattan Occupational Training Center,NEW YORK,NA,0,0,70,21,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,203,NA,0.5911330049261084,0.7692307692307693
2030,3620580,MARTIN VAN BUREN HIGH SCHOOL,NEW YORK,NA,0,8,425,37,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.017316017316017316,1078,NA,0.5435992578849722,0.9199134199134199
2032,3620580,MIDWOOD HIGH SCHOOL,NEW YORK,NA,0,6,913,912,Inf,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.0032876712328767125,4022,NA,0.4448035803083043,0.5002739726027398
2034,3620580,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,NEW YORK,NA,0,0,59,4,NA,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0,127,NA,0.4094488188976378,0.9365079365079365
2035,3620580,NEW DORP HIGH SCHOOL,NEW YORK,NA,8,22,304,1504,13.605263157894738,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.016592920353982302,3129,NA,0.5244487056567594,0.168141592920354
2036,3620580,NEW UTRECHT HIGH SCHOOL,NEW YORK,NA,3,3,94,732,7.78723404255319,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.007263922518159807,3273,NA,0.561258783990223,0.11380145278450363
2038,3620580,NEWTOWN HIGH SCHOOL,NEW YORK,NA,0,1,95,87,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.005494505494505495,1693,NA,0.5829887773183697,0.521978021978022
2041,3620580,PS 1 BERGEN (THE),NEW YORK,NA,0,0,10,23,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,778,NA,0.4691516709511568,0.30303030303030304
2042,3620580,PS 1 ALFRED E SMITH,NEW YORK,NA,0,0,49,8,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,192,NA,0.5572916666666666,0.8596491228070176
2043,3620580,PS 1 COURTLANDT SCHOOL,NEW YORK,NA,0,0,98,10,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,404,NA,0.5173267326732673,0.9074074074074074
2044,3620580,PS 1 TOTTENVILLE,NEW YORK,NA,0,0,6,250,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,363,NA,0.5068870523415978,0.0234375
2045,3620580,PS 2 ALFRED ZIMBERG,NEW YORK,NA,0,0,25,179,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,503,NA,0.536779324055666,0.12254901960784313
2046,3620580,IS 2 GEORGE L EGBERT,NEW YORK,NA,0,0,53,368,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,935,NA,0.4855614973262032,0.12589073634204276
2047,3620580,PS 2 MEYER LONDON,NEW YORK,NA,0,0,42,8,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,340,NA,0.5323529411764706,0.84
2049,3620580,PS 3 CHARRETTE SCHOOL,NEW YORK,NA,0,0,24,340,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,0,514,NA,0.5311284046692607,0.06593406593406594
